,product_id,name,price,quantity,category,production_date,expiration_date,rating,status
0,1,Мед,1778,501,Бакалея,2021-03-15,2030-04-03,0.29,Shipping
1,2,Манго,5123,576,Фрукты,2004-01-12,2007-02-18,4.8,On Backorder
2,3,Буженина,8136,83,Мясо,1999-02-08,2025-03-04,1.15,New
3,4,Тан,8412,694,Молочные продукты,1997-05-18,2028-02-20,2.77,Out of Stock
4,5,Редис,1703,924,Овощи,2013-09-20,2026-02-26,3.92,Available for Pickup
5,6,Томская,4750,487,Напитки,2019-03-12,2023-01-02,4.37,In Stock
6,7,Каймак,6981,146,Молочные продукты,2002-01-02,2016-04-05,4.74,Cancelled
7,8,Тан,2047,827,Молочные продукты,1999-06-05,2030-01-13,2.75,Backorder
8,9,Хурма,910,506,Фрукты,2018-07-09,2028-03-03,2.59,Available for Pickup
9,10,Брюква,3695,12,Овощи,1994-05-01,2008-06-22,0.54,New
10,11,Ананас,9300,41,Фрукты,2014-03-03,2017-03-06,2.32,Pending
11,12,Бастурма,1360,35,Мясо,1998-01-08,2003-01-15,2.7,Refunded
12,13,Рамбутан,3478,281,Фрукты,1992-03-16,2001-02-02,1.63,Pending
13,14,Подносы,8505,812,Товары для дома,2017-01-01,2027-02-19,0.89,On Backorder
14,15,Фольга алюминиевая,8246,252,Товары для дома,2017-05-01,2024-02-04,2.18,Returned
15,16,Коломенская,5766,999,Напитки,2018-01-03,2019-01-19,3.19,Shipping
16,17,Дыня,3160,794,Фрукты,2012-01-02,2020-08-07,2.23,Refunded
17,18,Матрасы,3280,473,Товары для дома,1999-08-10,2018-02-08,2.64,On Backorder
18,19,Индюшатина,7427,434,Мясо,2016-02-02,2025-02-11,0.77,Out of Stock
19,20,Полба,1939,717,Бакалея,2020-02-11,2029-02-13,0.34,Cancelled
20,21,Зубная паста,6830,722,Товары для дома,2001-09-13,2029-05-02,4.73,Temporarily Unavailable
21,22,Творог,4505,444,Молочные продукты,2007-08-09,2009-04-03,4.85,Delivered
22,23,Наборы столовых приборов,4426,711,Товары для дома,1992-04-07,2000-10-17,2.25,Available for Pickup
23,24,Конопляные семена,7550,798,Бакалея,2008-01-03,2030-01-16,4.54,On Backorder
24,25,Мацеста,8027,2,Напитки,2003-03-04,2016-04-08,0.72,Returned
25,26,Помидор,1809,486,Овощи,2015-07-08,2016-05-16,1.98,Refunded
26,27,Доктор Пеппер,9854,23,Напитки,1994-07-07,2023-01-02,4.35,On Backorder
27,28,Пакеты для Всемирного дня книг,431,978,Товары для дома,2011-02-02,2016-02-09,2.31,Backorder
28,29,Блендер,1045,740,Товары для дома,2000-06-02,2009-04-03,2.24,Delivered
29,30,"Экзотические виды мяса (например, страус, кенгуру)",8796,813,Мясо,2008-04-05,2015-01-15,1.78,Returned
30,31,Пакеты для пикников,2563,577,Товары для дома,1995-05-06,2026-01-06,1.06,Cancelled
31,32,Солонина,7473,618,Мясо,1996-01-10,1997-02-06,3.12,Awaiting Payment
32,33,Творог,7338,454,Молочные продукты,1990-11-10,1999-07-17,1.23,New
33,34,Амарант крупа,2092,936,Бакалея,1996-01-03,1996-05-11,1.55,Delivered
34,35,Каша из дробленной перловой крупы,9119,375,Бакалея,1990-02-09,2020-01-26,2.61,Returned
35,36,Стаканы,9788,633,Товары для дома,2002-02-02,2022-05-12,3.27,In Stock
36,37,Каша из дробленного риса,1163,124,Бакалея,1992-05-01,2007-02-01,3.01,Temporarily Unavailable
37,38,Козлятина,116,754,Мясо,1992-04-10,2028-01-07,4.31,Awaiting Payment
38,39,Камут,2573,704,Бакалея,1992-02-02,2014-02-18,1.08,Backorder
39,40,Ливерная колбаса,1966,799,Мясо,2022-03-01,2026-02-04,1.89,Sold
40,41,Фета,2135,386,Молочные продукты,2004-01-18,2020-03-01,3.51,Shipping
41,42,Стиральный порошок,8639,764,Товары для дома,2021-02-20,2026-06-07,3.17,Awaiting Review
42,43,Кардамон молотый,4186,689,Бакалея,2021-09-01,2030-01-25,2.46,On Backorder
43,44,Апельсин,2279,874,Фрукты,1998-01-11,2011-01-14,3.23,Available for Pickup
44,45,Fruko Schulz,1089,716,Напитки,2001-01-14,2001-06-06,4.64,Out of Stock
45,46,Вяленое мясо,8935,26,Мясо,1995-02-01,2027-04-01,1.89,Returned
46,47,Окра,3622,990,Овощи,1992-02-15,1998-08-03,1.72,Shipping
